Date,Price
27 Aug 2024,7999
28 Aug 2024,7999
29 Aug 2024,7999
30 Aug 2024,7999
31 Aug 2024,7999
01 Sep 2024,7999
02 Sep 2024,7999
03 Sep 2024,7999
04 Sep 2024,7999
05 Sep 2024,7999
06 Sep 2024,7999
07 Sep 2024,7999
08 Sep 2024,7999
09 Sep 2024,7999
10 Sep 2024,7999
11 Sep 2024,7999
12 Sep 2024,7999
13 Sep 2024,7999
14 Sep 2024,7999
15 Sep 2024,7999
16 Sep 2024,7999
17 Sep 2024,7999
18 Sep 2024,7999
19 Sep 2024,7999
20 Sep 2024,7999
21 Sep 2024,7999
22 Sep 2024,7999
23 Sep 2024,7999
24 Sep 2024,7999
25 Sep 2024,7999
26 Sep 2024,7999
27 Sep 2024,7999
28 Sep 2024,7999
29 Sep 2024,7999
30 Sep 2024,7999
01 Oct 2024,7999
02 Oct 2024,7999
03 Oct 2024,7999
04 Oct 2024,7999
05 Oct 2024,7999
06 Oct 2024,7999
07 Oct 2024,7999
08 Oct 2024,7999
09 Oct 2024,7999
10 Oct 2024,7999
11 Oct 2024,7999
12 Oct 2024,7999
13 Oct 2024,7999
14 Oct 2024,7999
15 Oct 2024,7999
16 Oct 2024,7999
17 Oct 2024,7999
18 Oct 2024,7999
19 Oct 2024,7999
20 Oct 2024,7999
21 Oct 2024,7999
22 Oct 2024,7999
23 Oct 2024,7999
24 Oct 2024,7999
25 Oct 2024,7999
26 Oct 2024,7999
27 Oct 2024,7999
28 Oct 2024,7999
29 Oct 2024,7999
30 Oct 2024,7999
31 Oct 2024,7999
01 Nov 2024,7999
02 Nov 2024,7999
03 Nov 2024,7999
04 Nov 2024,7999
05 Nov 2024,7999
06 Nov 2024,7999
07 Nov 2024,7999
08 Nov 2024,7999
09 Nov 2024,7999
10 Nov 2024,7999
11 Nov 2024,7999
12 Nov 2024,7999
13 Nov 2024,7999
14 Nov 2024,7999
15 Nov 2024,7999
16 Nov 2024,7999
17 Nov 2024,7999
18 Nov 2024,7999
19 Nov 2024,7999
20 Nov 2024,7999
21 Nov 2024,7999
22 Nov 2024,7999
23 Nov 2024,7999
24 Nov 2024,7999
25 Nov 2024,7999
26 Nov 2024,7999
27 Nov 2024,7999
28 Nov 2024,7999
29 Nov 2024,7999
30 Nov 2024,7999
01 Dec 2024,7999
02 Dec 2024,7999
03 Dec 2024,7999
04 Dec 2024,7999
05 Dec 2024,7999
06 Dec 2024,7999
07 Dec 2024,7999
08 Dec 2024,7999
09 Dec 2024,7999
10 Dec 2024,7999
11 Dec 2024,7999
12 Dec 2024,7999
13 Dec 2024,7999
14 Dec 2024,7999
15 Dec 2024,7999
16 Dec 2024,7999
17 Dec 2024,7999
18 Dec 2024,7999
19 Dec 2024,7999
20 Dec 2024,7999
